genre,tconst,titleType,title,isAdult,startYear,endYear
adventure,7405344,movie,Suffer food.,0,1913,1954
romantic_comedy,7601891,tv_episode,Yeah series produce.,1,2000,0
romance,6177244,movie,Into single.,1,1964,1970
scifi,5599401,tv_episode,Everyone kind support.,0,1975,2022
scifi,2362890,tv_episode,Front song character.,0,1936,1977
scifi,7365954,tv_episode,Nor offer would.,1,1907,2003
adventure,7045109,tv_episode,Himself hope small budget.,1,1989,2007
adventure,2573898,movie,Anyone provide.,1,1937,1951
fantasy,8912316,tv_episode,Trade huge.,0,1944,1983
fantasy,4176257,tv_series,In beyond.,0,1911,1991
scifi,5004447,tv_episode,Affect cup.,0,1958,1994
scifi,2847531,tv_episode,Writer still.,0,1987,2014
action,9169816,tv_series,Its.,1,1902,1917
action,3791247,movie,Per board practice.,1,1934,1994
action,8598654,tv_episode,Specific table.,1,2022,2024
romantic_comedy,4470353,tv_episode,Adult action.,0,1944,1977
comedy,6470472,tv_series,Policy very happen.,1,2020,2024
fantasy,5330873,tv_episode,Sort prevent.,0,2009,2013
horror,7023859,tv_series,Threat customer.,1,1987,1991
fantasy,6894983,tv_episode,May again.,1,1977,2004
romantic_comedy,6349519,tv_episode,Leave group.,0,1971,2016
comedy,2682620,tv_episode,Certainly number.,0,1981,2005
comedy,2274214,tv_episode,Apply nice attention.,1,1971,2023
action,6922283,tv_episode,Friend travel former.,1,1943,2006
scifi,3605246,tv_episode,Discuss father leave.,0,1998,2006
action,4248743,tv_episode,Month between garden.,1,1968,2012
romantic_comedy,7334750,movie,Choose scene technology address.,0,1906,0
romantic_comedy,2153006,tv_episode,Blue course civil.,1,1969,2021
scifi,3196485,tv_episode,Stand reason.,0,1916,2022
action,3231086,movie,No value movement.,0,1922,1996
romance,4140887,movie,Specific big involve present.,0,1957,1964
fantasy,1708193,movie,College sure new seven.,1,1959,2011
romantic_comedy,1090635,tv_series,Always perhaps forward.,0,2024,0
fantasy,2511255,tv_episode,Born talk.,1,2003,2023
adventure,8299168,tv_series,Than describe its.,1,2021,2023
romantic_comedy,2663427,tv_episode,Whole public suffer exist.,0,1954,2014
