tconst,ordering,nconst,category,characterName
7405344,1,36086,main_character,Joy Kim
7405344,2,88346,side_character,Joseph Perez
7405344,3,30614,guest,Daniel Jordan
7601891,1,95635,main_character,Anthony Andrews
7601891,2,36550,side_character,Maureen Gibbs
7601891,3,45223,guest,Dominique Brennan
6177244,1,95703,main_character,Scott Johnson
6177244,2,43350,side_character,Tracy Nixon
6177244,3,26341,guest,Christopher Kennedy
5599401,1,32232,main_character,Sandra Miranda
5599401,2,60035,side_character,Jessica Lucero
5599401,3,43306,guest,Melissa Barnes
2362890,1,66723,main_character,Kelly Romero
2362890,2,16633,side_character,Laura Smith
2362890,3,86694,guest,Erik Smith
7365954,1,85800,main_character,Ashley Jones
7365954,2,17067,side_character,Catherine Johnson
7365954,3,88469,guest,Shannon Russell
7045109,1,71085,main_character,Tyrone Bowen
7045109,2,94595,side_character,Adam Webb
7045109,3,67288,guest,Tonya Ross
2573898,1,10732,main_character,Kristy Hart
2573898,2,21187,side_character,William Singh
2573898,3,99685,guest,Margaret Stevenson
8912316,1,43350,main_character,Susan Miller
8912316,2,88975,side_character,Ronald Diaz
8912316,3,24152,guest,Arthur Carr
4176257,1,86420,main_character,Taylor Lopez
4176257,2,67928,side_character,Justin Jones
4176257,3,21533,guest,Amber Lane
5004447,1,93500,main_character,Kenneth Lee
5004447,2,12061,side_character,Allen Perez
5004447,3,21972,guest,Steven Smith
2847531,1,65583,main_character,Andrew Clark
2847531,2,99758,side_character,Antonio Taylor
2847531,3,23707,guest,Dawn Neal
9169816,1,31720,main_character,Joel Perez
9169816,2,40299,side_character,Dawn Bolton
9169816,3,40817,guest,Ricardo Townsend
3791247,1,96023,main_character,Cindy Garcia
3791247,2,17067,side_character,Kim Jacobson
3791247,3,50092,guest,Tammy Shepherd
8598654,1,28457,main_character,Erica Johnson
8598654,2,95703,side_character,Julie Walters
8598654,3,82664,guest,William Sanders
4470353,1,94689,main_character,Lisa Smith
4470353,2,74888,side_character,Jeff Flores
4470353,3,36112,guest,Tammy Gordon
6470472,1,70492,main_character,Amanda May
6470472,2,56590,side_character,Gregory Fisher
6470472,3,11964,guest,Wesley Floyd
5330873,1,51282,main_character,Justin Miller
5330873,2,72329,side_character,Mary Burke
5330873,3,98074,guest,Sarah Thompson
7023859,1,60814,main_character,Michael Schmidt
7023859,2,32910,side_character,Steven Navarro
7023859,3,10481,guest,Stacey Roth
6894983,1,74338,main_character,Elizabeth Haney
6894983,2,62441,side_character,Laura Turner
6894983,3,37532,guest,Debra Cooper
6349519,1,18557,main_character,Derrick King
6349519,2,76115,side_character,Matthew Lee
6349519,3,57325,guest,Christopher David
2682620,1,50092,main_character,Candice Gilbert
2682620,2,32911,side_character,David Garcia
2682620,3,90285,guest,James Pena
2274214,1,35698,main_character,Reginald Wolf
2274214,2,44186,side_character,Joshua Allen
2274214,3,50412,guest,Ann Hartman
6922283,1,22230,main_character,Christopher Ward
6922283,2,38692,side_character,Jonathan Meyer
6922283,3,96903,guest,Justin Flores
3605246,1,44133,main_character,Anthony Perez
3605246,2,53174,side_character,Lindsey Grant
3605246,3,51032,guest,Jonathan Mckinney
4248743,1,25091,main_character,Renee Miller
4248743,2,24156,side_character,John King
4248743,3,95748,guest,Jordan Watson
7334750,1,36523,main_character,Courtney Mccormick
7334750,2,30773,side_character,Daniel Flores
7334750,3,90072,guest,Jonathan Reed
2153006,1,31809,main_character,Raymond Wells
2153006,2,99597,side_character,Alejandro Rowland
2153006,3,47510,guest,Lori Watkins
3196485,1,34839,main_character,Patricia Myers
3196485,2,78354,side_character,Stephen Mcintosh
3196485,3,73724,guest,Nicholas Lynn
3231086,1,94058,main_character,Amber Garcia
3231086,2,93551,side_character,James Rose
3231086,3,75149,guest,Victoria Graves
4140887,1,40645,main_character,Melissa Smith
4140887,2,68591,side_character,Luke Foster
4140887,3,18470,guest,Kimberly Jimenez
1708193,1,29228,main_character,Kristen Hall
1708193,2,71244,side_character,Miguel Ali
1708193,3,88569,guest,Jessica Zamora
1090635,1,75323,main_character,Todd Perez
